"Stakeholder","Category","Degree","Degree_Centrality","Betweenness_Centrality","Critical_Bridge"
"Cargo Operators","Support",7,0.5,0.292,"Yes"
"Customs & Immigration","Security/Border",6,0.429,0.119,"Yes"
"Fuel Supply Companies","Support",5,0.357,0.187,"Yes"
"Bandaranaike International Airport (CMB)","Airport",5,0.357,0.092,"No"
"Sri Lanka Air Force","Security/Border",5,0.357,0.083,"No"
"Mattala Rajapaksa International Airport (MRIA)","Airport",4,0.286,0.092,"No"
"Civil Aviation Authority of Sri Lanka (CAASL)","Regulator",4,0.286,0.075,"No"
"Air Traffic Control (ATC)","ATC",4,0.286,0.074,"No"
"Maintenance & Engineering","Ground Ops",3,0.214,0.053,"No"
"Tourism Authority","Support",3,0.214,0.022,"No"
"Mihin Lanka","Airline",3,0.214,0.02,"No"
"International Airlines","Airline",3,0.214,0.02,"No"
"SriLankan Airlines","Airline",2,0.143,0.025,"No"
"Airport & Aviation Services SL (AASL)","Operator",1,0.071,0,"No"
"Ground Handling Unit","Ground Ops",1,0.071,0,"No"
